date,max,average,min,precipitation,rain,city
5/5/15,70,62.8,55,0.00,0,0
5/6/15,68,63,55,0.00,0,0
5/7/15,70,63.9,55,0.00,0,0
5/8/15,70,66,63,0.00,0,0
5/9/15,79,70,61,0.00,0,0
5/10/15,82,73.9,64,0.00,0,0
5/11/15,77,71.5,66,0.00,0,0
5/12/15,81,72.1,63,0.00,0,0
5/13/15,91,78,66,0.00,0,0
5/14/15,91,79.9,64,0.00,0,0
5/15/15,86,72.4,57,0.00,0,0
5/16/15,82,74.3,66,0.00,0,0
5/17/15,84,74,64,0.00,0,0
5/18/15,77,71.1,63,0.00,0,0
5/19/15,82,71.6,61,0.00,0,0
5/20/15,81,69.9,59,0.00,0,0
5/21/15,75,68.7,63,0.00,0,0
5/22/15,73,68,63,0.00,0,0
5/23/15,73,67.9,63,0.00,0,0
5/24/15,73,68,63,0.00,0,0
5/25/15,72,68.3,64,0.00,0,0
5/26/15,73,68.4,61,0.00,0,0
5/27/15,79,72.2,64,0.00,0,0
5/28/15,84,75,66,0.00,0,0
5/29/15,75,71.4,66,0.00,0,0
5/30/15,75,70.5,64,0.00,0,0
5/31/15,86,74,66,0.00,0,0
6/1/15,75,71.5,63,0.00,0,0
6/2/15,81,75.1,66,0.00,0,0
6/3/15,88,78.7,68,0.00,0,0
6/4/15,82,77.1,72,0.00,0,0
6/5/15,82,74.7,64,0.00,0,0
6/6/15,84,76.6,68,0.00,0,0
6/7/15,82,76.8,72,0.00,0,0
6/8/15,79,75.2,70,0.00,0,0
6/9/15,77,71.9,68,0.00,0,0
6/10/15,70,68,64,0.00,0,0
6/11/15,72,68.8,64,0.00,0,0
6/12/15,72,67.1,61,0.00,0,0
6/13/15,72,64.6,57,0.81,1,0
6/14/15,72,66,61,4.29,1,0
6/15/15,73,66.3,57,0.48,1,0
6/16/15,75,69.6,61,0.00,0,0
6/17/15,84,76.2,70,0.00,0,0
6/18/15,82,75.1,68,0.00,0,0
6/19/15,81,75.1,64,0.00,0,0
6/20/15,84,77.7,70,0.00,0,0
6/21/15,77,72.9,70,0.00,0,0
6/22/15,77,70.9,63,0.00,0,0
6/23/15,75,69.5,63,0.00,0,0
6/24/15,75,69.5,61,0.00,0,0
6/25/15,79,72.3,61,0.00,0,0
6/26/15,88,78.2,68,0.00,0,0
6/27/15,95,86.3,72,0.00,0,0
6/28/15,88,81.5,72,0.00,0,0
6/29/15,77,73.2,68,0.00,0,0
6/30/15,70,68.5,68,0.00,0,0
7/1/15,77,70.2,63,2.16,1,0
7/2/15,81,73.2,64,0.00,0,0
7/3/15,81,74.5,66,0.00,0,0
7/4/15,84,76.2,64,0.00,0,0
7/5/15,84,80.6,75,0.00,0,0
7/6/15,84,78.7,72,0.00,0,0
7/7/15,91,82.2,72,0.00,0,0
7/8/15,86,79.8,73,0.00,0,0
7/9/15,79,74.7,70,0.00,0,0
7/10/15,91,73.4,63,0.00,0,0
7/11/15,95,78.6,66,0.00,0,0
7/12/15,82,77.3,72,0.00,0,0
7/13/15,84,76.6,66,0.00,0,0
7/14/15,82,76.4,70,0.00,0,0
7/15/15,90,81.8,73,0.00,0,0
7/16/15,90,82.6,77,0.00,0,0
7/17/15,88,79.9,73,0.00,0,0
7/18/15,90,78.3,70,0.00,0,0
7/19/15,84,77.9,70,0.00,0,0
7/20/15,88,79.1,72,0.00,0,0
7/21/15,86,80.2,73,0.00,0,0
7/22/15,95,83.4,73,0.00,0,0
7/23/15,97,80.5,72,0.00,0,0
7/24/15,90,78,72,0.05,1,0
7/25/15,84,74,64,0.00,0,0
7/26/15,82,74.5,70,0.00,0,0
7/27/15,88,81.5,73,0.00,0,0
7/28/15,90,79.7,72,0.00,0,0
7/29/15,99,82.1,72,0.00,0,0
7/30/15,82,75.3,72,0.00,0,0
7/31/15,81,71.6,66,0.00,0,0
8/1/15,77,71.5,64,0.00,0,0
8/2/15,88,79.8,68,0.00,0,0
8/3/15,81,72.9,66,0.00,0,0
8/4/15,79,72,64,0.00,0,0
8/5/15,82,74.3,63,0.00,0,0
8/6/15,86,77.4,68,0.00,0,0
8/7/15,93,82.4,77,0.00,0,0
8/8/15,86,79.1,72,0.00,0,0
8/9/15,90,82.8,73,0.00,0,0
8/10/15,82,77,70,0.00,0,0
8/11/15,79,73.3,68,0.00,0,0
8/12/15,84,75.8,70,0.00,0,0
8/13/15,86,73,64,0.00,0,0
8/14/15,84,70.9,63,0.00,0,0
8/15/15,84,71.3,61,0.00,0,0
8/16/15,75,71.2,66,0.00,0,0
8/17/15,79,72.1,64,0.00,0,0
8/18/15,75,70.8,66,0.00,0,0
8/19/15,75,70.1,64,0.00,0,0
8/20/15,86,76.7,68,0.00,0,0
8/21/15,77,70.9,64,0.00,0,0
8/22/15,81,69,64,0.00,0,0
8/23/15,72,68.5,64,2.39,1,0
8/24/15,75,69.6,64,0.15,1,0
8/25/15,77,72.7,68,0.00,0,0
8/26/15,81,74.3,64,0.00,0,0
8/27/15,82,75.3,66,0.00,0,0
8/28/15,84,77.6,68,0.00,0,0
8/29/15,86,79.7,75,0.00,0,0
8/30/15,82,75.7,68,0.00,0,0
8/31/15,75,70.7,66,0.00,0,0
9/1/15,75,70.3,63,0.00,0,0
9/2/15,79,70.2,64,0.00,0,0
